2021-01-20 09:42:24,665 : DEBUG : ModalContext :  : Joiner2NodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,226 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:17(1) to node 4:28:0:22(0)
2021-01-20 09:42:25,226 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:23(1) to node 4:28:0:29(2)
2021-01-20 09:42:25,226 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:28(1) to node 4:28:0:23(1)
2021-01-20 09:42:25,227 : DEBUG : ModalContext :  : Workflow : Shift Assignment : 4:28 : Triggering graph analysis on 4:28:0:22
2021-01-20 09:42:25,230 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:28(1) to node 4:28:0:17(1)
2021-01-20 09:42:25,264 : DEBUG : ModalContext :  : HiLiteHandler : Shift Assignment : 4:28 : Adding hilite translator to handler 1658ff00-73dd-47f3-89db-2f89d196aa94
2021-01-20 09:42:25,266 : DEBUG : ModalContext :  : ColumnHeaderExtractorNodeFactory : Color Assignment : 4:28:0:22 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,268 : DEBUG : ModalContext :  : TransposeTableNodeFactory : Color Assignment : 4:28:0:22 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,270 : DEBUG : ModalContext :  : ColorManager2NodeFactory : Color Assignment : 4:28:0:22 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,271 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:22:20(1) to node 4:28:0:22:21(1)
2021-01-20 09:42:25,271 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:22:19(1) to node 4:28:0:22:20(1)
